FileName,LOSS,UD_P_SNR,UD_S_SNR,UD_P_CC,UD_S_CC,UD_N_CC,NS_P_SNR,NS_S_SNR,NS_P_CC,NS_S_CC,NS_N_CC,EW_P_SNR,EW_S_SNR,EW_P_CC,EW_S_CC,EW_N_CC
110906.054722_E.NKMM.npz,203.89692280309802,106.61808967590332,107.3231029510498,0.9882676390412197,0.9986762967552999,0.9558660804824013,104.34182167053223,107.24427223205566,0.9942853584913173,0.9945600018958778,0.9776831408246438,103.68403434753418,107.22192764282227,0.9760962502829797,0.9978054964151859,0.9994283516282705
110906.073037_E.MD1M.npz,194.77855578495436,103.90768051147461,106.07217788696289,0.9727536134662401,0.9962605933657855,0.9999068162830872,100.58354377746582,109.0218448638916,0.8893100153891889,0.9982530972400457,0.9998716855246124,99.44831848144531,106.15070343017578,0.9489804930706841,0.9985663227872023,0.9998735711193916
110906.073037_E.MOKM.npz,202.4647469091217,105.30777931213379,106.12042427062988,0.9658028884508237,0.991903844379244,0.9997150531361566,103.22934150695801,107.76082992553711,0.9598814791228791,0.9948872619799998,0.99982657527271,102.69463539123535,107.17755317687988,0.9740236150847617,0.9953997629214791,0.9998622198811641
110906.092533_E.MD1M.npz,189.8695905044517,102.16614723205566,101.46731376647949,0.9546185552361237,0.9818554946953284,0.999444448795859,98.10443878173828,101.05141639709473,0.9477147595014965,0.9915012254080932,0.9997990983167072,99.27804946899414,100.86406707763672,0.9656340507352835,0.9923301377387752,0.9998262660643924
110906.125956_E.NKMM.npz,179.62863410736634,94.91775512695312,101.18327140808105,0.9380842648006071,0.9951878773774276,0.9992049715020441,100.11248588562012,108.33493232727051,0.9783154527627488,0.9942318870587845,0.9996470373080353,98.29954147338867,108.5950756072998,0.7477030223959996,0.9913068490412685,0.9995237765635719
110906.125956_E.SRTM.npz,183.3352335521281,97.5656509399414,101.31479263305664,0.9622972406955771,0.9787401476911667,0.9996091763856588,96.69824600219727,103.15547943115234,0.9672018251235714,0.9944070235933163,0.9997171037691288,92.88227081298828,102.44447708129883,0.883825843830438,0.988452613633328,0.9997703918991186
110906.125956_E.SSHM.npz,175.8963454419135,100.18672943115234,104.94805335998535,0.813759663988494,0.9827275953837407,0.9992812890022473,100.18307685852051,105.81484794616699,0.9488393261761517,0.9956333961047394,0.999792791455597,99.17729377746582,107.12277412414551,0.8251168096314564,0.9945421378445167,0.9994216666887451
110906.160058_E.TACM.npz,198.9250764581848,103.68706703186035,104.39945220947266,0.9848561515814424,0.9961140480424068,0.9879786162551936,101.0633659362793,104.58467483520508,0.9525263878235569,0.9972707744987576,0.9997490320598601,101.18139266967773,105.97779273986816,0.9656033536375174,0.998969281851211,0.9998066934493567
110906.175027_E.MD1M.npz,140.49731329359986,96.77899360656738,98.80067825317383,0.9062353555712176,0.9705125418150666,0.99969189503418,-0.04090392030775547,97.2293758392334,0.9994790733051847,0.9900911544284128,0.9996281232385881,90.15307426452637,94.63665008544922,0.8443669221591736,0.9841158406853797,0.9989491707370162
110906.180352_E.NKMM.npz,180.0258640823646,102.2632884979248,98.91708374023438,0.9151753022436137,0.9409560612401431,0.9993246333126777,101.17778778076172,100.73349952697754,0.9543012437068827,0.9506600134687508,0.9997248405368374,99.93385314941406,102.22488403320312,0.9313327772949158,0.9766046369077303,0.9997344816053131
110906.190651_E.HSDM.npz,214.89742232219683,111.50308609008789,109.0849494934082,0.9623841202523331,0.9980295838813399,0.9989939534871428,110.41434288024902,110.63596725463867,0.9921020237917392,0.9993481606921826,0.9993348920995504,109.34605598449707,110.71626663208008,0.9737295635258746,0.9993800587979859,0.9993892446237739
110906.190651_E.IIDM.npz,145.03790959261218,111.0859489440918,108.36664199829102,0.960772456251908,0.9990249712433665,0.9984620185053303,44.68818664550781,46.17141246795654,0.9988274762548445,0.9993214696264598,0.03087433301817391,110.39467811584473,112.48645782470703,0.9976489603310394,0.9991606253149428,0.9992291019278017
110906.190651_E.SNSM.npz,214.3989987068452,113.45670700073242,110.39419174194336,0.9523788174397443,0.9992606796266237,0.9983552101437755,112.4698543548584,113.57199668884277,0.9989920366921115,0.9981729364692676,0.9970561811006692,106.69356346130371,108.92361640930176,0.9552989484098473,0.9993038903317312,0.999712295569912
110906.221707_E.SNSM.npz,208.61188489771416,106.53021812438965,105.0214958190918,0.9963564199126064,0.9947027117152469,0.9985210386344119,101.56665802001953,106.63156509399414,0.9938428079153705,0.998799454961719,0.9994723854434543,105.16232490539551,107.99775123596191,0.9882574563475081,0.9981401406069111,0.998370170726058
110906.221707_E.TKWM.npz,217.70131551205182,112.81837463378906,112.17964172363281,0.9850740928364351,0.9989740563294122,0.9971982428231547,108.55608940124512,109.69449996948242,0.9982734464049865,0.9987161059093101,0.9961167590945289,109.39987182617188,110.07871627807617,0.9926321715567967,0.9977725251757993,0.9916580828147329
110906.221707_E.YMKM.npz,212.10502207219733,108.72176170349121,107.70099639892578,0.9949168223907605,0.9989723361113594,0.9981187882813376,104.84187126159668,106.68887138366699,0.9947864623607074,0.9982371067078256,0.9978591190723016,106.72891616821289,107.05217361450195,0.9961500815900494,0.9982682812467685,0.9972803758930181
110906.233832_E.HSDM.npz,221.01087330895746,108.63040924072266,115.9103012084961,0.9947596216983678,0.9991364632353046,0.9979821971319796,106.17348670959473,114.57250595092773,0.9925628041137501,0.9985111516545087,0.9998850441216105,108.00796508789062,114.66181755065918,0.9969923749284396,0.9982108141730307,0.9998014986133645
110906.234505_E.SSHM.npz,156.02480768157832,98.53070259094238,96.23550415039062,0.8954835016153834,0.9227658432217052,0.9997396385070833,97.67508506774902,99.54964637756348,0.8049981845420863,0.9083294363950205,0.9998609982799361,101.23239517211914,103.13273429870605,0.857262276059011,0.9306129499395291,0.9996757889008794
110906.234505_E.TK2M.npz,100.67699095056776,100.56636810302734,97.07718849182129,0.9213114766215323,0.8818895176875092,0.9997439924125237,9.640194177627563,11.963982582092285,0.9437884999206808,0.9021487738594586,0.11359181703260925,98.56433868408203,99.82535362243652,0.8607232010741164,0.8165609456881986,0.9997375494995853
110906.234505_E.TKWM.npz,144.0012301770258,97.40384101867676,94.06810760498047,0.7871723349813999,0.8763556435424553,0.9997185599159626,97.26766586303711,97.38597869873047,0.8731421240232142,0.9305775549649578,0.9995805680826579,94.44388389587402,95.7318115234375,0.8294049308382256,0.8997900019974795,0.9995358679012551
110907.001544_E.HSDM.npz,176.25987510732526,102.37651824951172,99.66026306152344,0.7330048686663941,0.9795602207274043,0.9984640243985311,99.99881744384766,98.16202163696289,0.9508382250260295,0.9952526338697766,0.999605867370503,102.32894897460938,100.53421020507812,0.9745622421550291,0.9940630022692751,0.9997760938301117
